theta_id,facet_lab,mu_star,sigma_star,eps,delta,target,n_thr
1,"mu=0.30, sigma=0.50",0.3,0.5,0.05,0.05,0.95,NA
1,"mu=0.30, sigma=0.50",0.3,0.5,0.05,0.1,0.9,NA
1,"mu=0.30, sigma=0.50",0.3,0.5,0.1,0.05,0.95,NA
1,"mu=0.30, sigma=0.50",0.3,0.5,0.1,0.1,0.9,NA
1,"mu=0.30, sigma=0.50",0.3,0.5,0.2,0.05,0.95,NA
1,"mu=0.30, sigma=0.50",0.3,0.5,0.2,0.1,0.9,1600
2,"mu=0.75, sigma=0.50",0.75,0.5,0.05,0.05,0.95,1600
2,"mu=0.75, sigma=0.50",0.75,0.5,0.05,0.1,0.9,800
2,"mu=0.75, sigma=0.50",0.75,0.5,0.1,0.05,0.95,200
2,"mu=0.75, sigma=0.50",0.75,0.5,0.1,0.1,0.9,200
2,"mu=0.75, sigma=0.50",0.75,0.5,0.2,0.05,0.95,50
2,"mu=0.75, sigma=0.50",0.75,0.5,0.2,0.1,0.9,50
3,"mu=1.50, sigma=0.50",1.5,0.5,0.05,0.05,0.95,800
3,"mu=1.50, sigma=0.50",1.5,0.5,0.05,0.1,0.9,400
3,"mu=1.50, sigma=0.50",1.5,0.5,0.1,0.05,0.95,200
3,"mu=1.50, sigma=0.50",1.5,0.5,0.1,0.1,0.9,100
3,"mu=1.50, sigma=0.50",1.5,0.5,0.2,0.05,0.95,50
3,"mu=1.50, sigma=0.50",1.5,0.5,0.2,0.1,0.9,50
4,"mu=2.25, sigma=0.50",2.25,0.5,0.05,0.05,0.95,800
4,"mu=2.25, sigma=0.50",2.25,0.5,0.05,0.1,0.9,400
4,"mu=2.25, sigma=0.50",2.25,0.5,0.1,0.05,0.95,200
4,"mu=2.25, sigma=0.50",2.25,0.5,0.1,0.1,0.9,100
4,"mu=2.25, sigma=0.50",2.25,0.5,0.2,0.05,0.95,50
4,"mu=2.25, sigma=0.50",2.25,0.5,0.2,0.1,0.9,25
5,"mu=3.00, sigma=0.50",3,0.5,0.05,0.05,0.95,800
5,"mu=3.00, sigma=0.50",3,0.5,0.05,0.1,0.9,400
5,"mu=3.00, sigma=0.50",3,0.5,0.1,0.05,0.95,200
5,"mu=3.00, sigma=0.50",3,0.5,0.1,0.1,0.9,100
5,"mu=3.00, sigma=0.50",3,0.5,0.2,0.05,0.95,50
5,"mu=3.00, sigma=0.50",3,0.5,0.2,0.1,0.9,25
6,"mu=0.30, sigma=1.25",0.3,1.25,0.05,0.05,0.95,NA
6,"mu=0.30, sigma=1.25",0.3,1.25,0.05,0.1,0.9,NA
6,"mu=0.30, sigma=1.25",0.3,1.25,0.1,0.05,0.95,NA
6,"mu=0.30, sigma=1.25",0.3,1.25,0.1,0.1,0.9,NA
6,"mu=0.30, sigma=1.25",0.3,1.25,0.2,0.05,0.95,NA
6,"mu=0.30, sigma=1.25",0.3,1.25,0.2,0.1,0.9,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.05,0.05,0.95,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.05,0.1,0.9,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.1,0.05,0.95,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.1,0.1,0.9,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.2,0.05,0.95,NA
7,"mu=0.75, sigma=1.25",0.75,1.25,0.2,0.1,0.9,NA
8,"mu=1.50, sigma=1.25",1.5,1.25,0.05,0.05,0.95,NA
8,"mu=1.50, sigma=1.25",1.5,1.25,0.05,0.1,0.9,NA
8,"mu=1.50, sigma=1.25",1.5,1.25,0.1,0.05,0.95,NA
8,"mu=1.50, sigma=1.25",1.5,1.25,0.1,0.1,0.9,1600
8,"mu=1.50, sigma=1.25",1.5,1.25,0.2,0.05,0.95,800
8,"mu=1.50, sigma=1.25",1.5,1.25,0.2,0.1,0.9,400
9,"mu=2.25, sigma=1.25",2.25,1.25,0.05,0.05,0.95,NA
9,"mu=2.25, sigma=1.25",2.25,1.25,0.05,0.1,0.9,NA
9,"mu=2.25, sigma=1.25",2.25,1.25,0.1,0.05,0.95,1600
9,"mu=2.25, sigma=1.25",2.25,1.25,0.1,0.1,0.9,800
9,"mu=2.25, sigma=1.25",2.25,1.25,0.2,0.05,0.95,400
9,"mu=2.25, sigma=1.25",2.25,1.25,0.2,0.1,0.9,400
10,"mu=3.00, sigma=1.25",3,1.25,0.05,0.05,0.95,NA
10,"mu=3.00, sigma=1.25",3,1.25,0.05,0.1,0.9,NA
10,"mu=3.00, sigma=1.25",3,1.25,0.1,0.05,0.95,1600
10,"mu=3.00, sigma=1.25",3,1.25,0.1,0.1,0.9,800
10,"mu=3.00, sigma=1.25",3,1.25,0.2,0.05,0.95,400
10,"mu=3.00, sigma=1.25",3,1.25,0.2,0.1,0.9,200
11,"mu=0.30, sigma=2.00",0.3,2,0.05,0.05,0.95,NA
11,"mu=0.30, sigma=2.00",0.3,2,0.05,0.1,0.9,NA
11,"mu=0.30, sigma=2.00",0.3,2,0.1,0.05,0.95,NA
11,"mu=0.30, sigma=2.00",0.3,2,0.1,0.1,0.9,NA
11,"mu=0.30, sigma=2.00",0.3,2,0.2,0.05,0.95,NA
11,"mu=0.30, sigma=2.00",0.3,2,0.2,0.1,0.9,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.05,0.05,0.95,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.05,0.1,0.9,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.1,0.05,0.95,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.1,0.1,0.9,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.2,0.05,0.95,NA
12,"mu=0.75, sigma=2.00",0.75,2,0.2,0.1,0.9,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.05,0.05,0.95,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.05,0.1,0.9,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.1,0.05,0.95,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.1,0.1,0.9,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.2,0.05,0.95,NA
13,"mu=1.50, sigma=2.00",1.5,2,0.2,0.1,0.9,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.05,0.05,0.95,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.05,0.1,0.9,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.1,0.05,0.95,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.1,0.1,0.9,NA
14,"mu=2.25, sigma=2.00",2.25,2,0.2,0.05,0.95,1600
14,"mu=2.25, sigma=2.00",2.25,2,0.2,0.1,0.9,1600
15,"mu=3.00, sigma=2.00",3,2,0.05,0.05,0.95,NA
15,"mu=3.00, sigma=2.00",3,2,0.05,0.1,0.9,NA
15,"mu=3.00, sigma=2.00",3,2,0.1,0.05,0.95,NA
15,"mu=3.00, sigma=2.00",3,2,0.1,0.1,0.9,NA
15,"mu=3.00, sigma=2.00",3,2,0.2,0.05,0.95,1600
15,"mu=3.00, sigma=2.00",3,2,0.2,0.1,0.9,800
