"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","n_times_net","time_med","time_mean","time_q90","throughput_med"
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0327333333333324,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0211333333333338,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0287333333333299,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.041866666666671,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.069399999999999,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.05,"gamma=0.05",1891,1512800,0.125,0.125999999999998,0.139999999999418,12102400
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00560000000000097,0.0200000000004366,Inf
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00726666666666764,0.0200000000004366,Inf
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0107999999999932,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0190666666666705,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0317999999999908,0.041000000000713,13226666.666378
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0208666666666613,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0272666666666676,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0418000000000029,0.0510000000009313,9454999.99979362
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,400,0.05,"gamma=0.05",1891,756400,0.0600000000013097,0.0688666666666662,0.0799999999999272,12606666.6663915
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.124066666666683,0.140000000001237,12606666.6665826
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00526666666667249,0.0200000000004366,Inf
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00726666666666764,0.0200000000004366,Inf
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0108666666666735,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.1,"gamma=0.1",496,198400,0.0199999999986176,0.0178666666666565,0.0300000000006548,9920000.00068569
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0327999999999884,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0221999999999995,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0279333333333367,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0411333333333338,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0685333333333256,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",10,"id=10 (mu*=3, sigma*=1.25)",3,1.25,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.123133333333329,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.1,"gamma=0.1",496,24800,0,0.00560000000000097,0.0200000000004366,Inf
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.1,"gamma=0.1",496,49600,0,0.00819999999999709,0.0200000000004366,Inf
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0106666666666691,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.018133333333329,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0325333333333401,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0216666666666667,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999997453,0.0279333333333367,0.0400000000008731,6303333.33338684
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,200,0.05,"gamma=0.05",1891,378200,0.0499999999992724,0.045600000000001,0.0599999999994907,7564000.00011007
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0698666666666638,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",11,"id=11 (mu*=0.3, sigma*=2)",0.3,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.125133333333324,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.1,"gamma=0.1",496,24800,0,0.00546666666666473,0.0200000000004366,Inf
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.1,"gamma=0.1",496,49600,0,0.00720000000001164,0.0200000000004366,Inf
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.010666666666657,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.1,"gamma=0.1",496,198400,0.0199999999986176,0.0181333333333411,0.0300000000006548,9920000.00068569
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0335333333333256,0.0500000000010914,13226666.666378
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0212000000000019,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0281333333333411,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0413333333333261,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.07,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",12,"id=12 (mu*=0.75, sigma*=2)",0.75,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.124933333333332,0.1399999999996,12606666.6665826
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.1,"gamma=0.1",496,24800,0,0.00553333333333285,0.0200000000004366,Inf
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.1,"gamma=0.1",496,49600,0,0.00719999999999951,0.0200000000004366,Inf
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0109333333333416,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0179999999999927,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0324000000000039,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0212666666666579,0.039999999999236,4727499.99989681
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0274000000000039,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0431999999999971,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0689333333333343,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",13,"id=13 (mu*=1.5, sigma*=2)",1.5,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.12473333333334,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.1,"gamma=0.1",496,24800,0,0.00513333333332412,0.0200000000004366,Inf
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.1,"gamma=0.1",496,49600,0,0.00733333333332363,0.0200000000004366,Inf
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0108666666666613,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0186666666666618,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0346666666666836,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0231999999999971,0.0399999999990541,4727499.99989681
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0288666666666662,0.041000000000713,6303333.33357793
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0432666666666773,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0733999999999893,0.0900000000001455,10805714.2857592
"folded_normal","L-FN2",14,"id=14 (mu*=2.25, sigma*=2)",2.25,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.125133333333336,0.1399999999996,12606666.6665826
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.1,"gamma=0.1",496,24800,0,0.00559999999998884,0.0200000000004366,Inf
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,100,0.1,"gamma=0.1",496,49600,0,0.00720000000001164,0.0200000000004366,Inf
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0123999999999918,0.0299999999988358,9919999.99978347
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0179333333333367,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0321333333333314,0.041000000000713,13226666.666378
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0213999999999942,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0281999999999971,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0425333333333401,0.0510000000009313,9454999.99979362
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0701333333333362,0.0800000000017462,10805714.2857592
"folded_normal","L-FN2",15,"id=15 (mu*=3, sigma*=2)",3,2,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.124799999999996,0.139999999999418,12606666.6665826
